Unique ID,Category,User,Req. Description,Dependencies,Priority,TimeEstimate
58,Should,Administrators,Administrators should be able to delete or modify content from other users that have posted on or submitted to group forums.,50,60,0.5
59,Should,Administrators,"Administrators must be able to revoke privileges of other users, including messaging and viewing certain pages.",28,60,0.5
60,Should,Administrators,"Administrators should be able to view all pages on the application, including any restricted pages from other users.",NA,60,0.5
61,Should,Administrators,Administrators should be able to remove problematic groups and users from the application,26,70,0.5
62,Should,System,The system should have scheduled maintenance windows (during downtimes) to improve network speeds,NA,70,0.5
63,Should,System,"The system should be capable of handling over 500,000 users concurrently with less than a 5% performance drop",NA,70,0.5
64,Should,System,The system should allow administrator-approved users (type of moderator) to submit content to information pages to keep the application up to date.,14,70,1.0
65,Could,Users,All users could be able to view a list of tutorials and/or tips and tricks on how to use the application.,NA,70,0.5
66,Could,System,"The system could have a desktop app functional with Windows, Linux, and MacOS.",NA,70,0.5
67,Could,System,The system could pull information from the university's page to update information so that the application remains up to date.,NA,70,1.0
68,Could,System,The system could have an iOS and Android (mobile) implementation.,NA,70,0.5
69,Could,System,"If the user is using the application through the phone, all important and emergency notifications could be distributed via a push notification for the user's device.",68,70,0.5
70,Could,System,The system could have a dark theme/mode to provide an alternative option that saves energy and is easier on the eyes of some users.,NA,70,0.5
71,Could,Students,"Students could be able to access basic information of other students, including name, username, profile picture, and club memberships.",NA,80,0.5
72,Could,System,Each waypoint for each residence could include food options located in the residence.,41,80,0.5
73,Could,System,The campus map could update information real-time using features from external APIs such as Google Maps.,4,80,1.0
74,Could,Students,Students could be able to bookmark specific waypoints that they are interested in.,6,80,0.5
75,Could,Students,Students could be able to view all bookmarked locations in a centralized location.,74,80,0.5
76,Could,Users,"All users could be able to view on and off-campus, university-affiliated volunteering opportunities.",14,80,0.5
77,Could,Students,"Students could be able to register for on and off-campus, university-affiliated volunteering opportunities.",76,80,0.5
78,Could,Students,"Students could be able to schedule counselling services appointments inside the page related, such as mental health and program counselling.",16,80,0.5
79,Could,Users,All users could be able to access information about SLGs and group clusters for a particular course or degree program.,20,80,0.5
80,Could,Students,Students could be able to ask questions to a forum for moderators to answer.,NA,80,0.5
81,Could,Students,Students could be able to view their notifications on a calendar to provide an easier way to view their upcoming notifications.,21,90,1.0
82,Could,System,The calendar could default to a monthly view.,81,90,0.5
83,Could,Students,"Students could be able to change the view of the calendar to a daily, weekly, or yearly view.",82,90,0.5
84,Could,System,The campus map could include information about interior layouts of lecture halls and labs.,8,90,0.5
85,Could,System,The campus map could include information about locations that take the student meal plan off-campus.,9,90,0.5
86,Could,Students,"Students could be able to search for available clubs by keywords, including name, program type, location.",26,90,0.5
87,Could,Students,Students could be able to view basic information about a club to determine if they are interested in joining.,49,90,0.5
88,Could,System,Each club in the system could have a group messaging board only available to members of that group.,49,90,0.5
89,Could,Students,"Students could be able to edit messages that they have sent to a group until 5 minutes, where they can no longer edit their message.",88,90,0.5
90,Could,Students,Students could be able to react to other member's messages.,89,90,0.5
91,Could,Moderators,Moderators could be able to send links to users so they can submit reviews on how much they enjoyed their experience in a particular residence.,41,100,1.0
92,Could,System,"Each review could be on a 5-star rating, including comments about what the user thought about the residence",91,100,0.5
93,Could,System,Each review could be approved by a content moderator to ensure it is appropriate and not inflammatory.,91,100,0.5
94,Wont,System,The system won't ask for microphone and file system permissions.,NA,NA,NA
95,Wont,System,The system won't allow the user to make phone calls.,NA,NA,NA
96,Wont,Users,All users won't be able to purchase official merchandise from the university through the software.,NA,NA,NA
97,Wont,System,The system won't handle invalid login credentials or password reset requests since UoG Single Sign On is responsible for this functionality.,29,NA,NA
98,Wont,System,The system won't have a friends list feature.,NA,NA,NA
99,Wont,Students,Students won't be able to add other students to a friend list.,99,NA,NA
100,Wont,Students,"Students won't be able to follow other student accounts, only moderator accounts and above so they can manage a group page.",99,NA,NA
101,Wont,Students,Students won't be able to private message other students of the application.,29,NA,NA
102,Wont,System,The system's campus map won't have route information on how to get to certain classes.,4,NA,NA
103,Wont,System,The system's campus map won't show times of peak foot traffic on campus.,4,NA,NA
104,Wont,System,The system's campus map won't have real-time updates on the Guelph bus schedule.,4,NA,NA
105,Wont,Students,Students won't be able to interact with groups that they are not a member of.,26,NA,NA
106,Wont,Students,"Students won't be allowed to create new groups, only moderator accounts and above.",26,NA,NA
